username,password,role,assigned_district,assigned_chiefdom,access_level,monitor_role,landing_page,allowed_pages,region,district,chiefdom,health_facility,community,full_name,telephone
reg011,12345,registrar,Kono,Gbense,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kono,Gbense,Gbense CHP,Sefadu,Martin Johnson,033909169
reg012,12345,registrar,Kono,Gorama,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kono,Gorama,Gorama CHC,Yengema,Kadi Tarawally,077462475
reg013,12345,registrar,Bombali,Biriwa,chiefdom,registrar,regform.html,"regform.html",Northern Province,Bombali,Biriwa,Biriwa MCHP,Rogbom,George Conteh,076183842
reg014,12345,registrar,Bombali,Gbanti Kamaranka,chiefdom,registrar,regform.html,"regform.html",Northern Province,Bombali,Gbanti Kamaranka,Gbanti Kamaranka CHC,Masongbo,Rebecca Lahai,078278498
reg015,12345,registrar,Bombali,Libeisaygahun,chiefdom,registrar,regform.html,"regform.html",Northern Province,Bombali,Libeisaygahun,Libeisaygahun MCHP,Matene,Cecilia Sei,030124118
reg016,12345,registrar,Bombali,Makari Gbanti,chiefdom,registrar,regform.html,"regform.html",Northern Province,Bombali,Makari Gbanti,Makari Gbanti CHP,Binkolo,Frank Suma,030534874
reg017,12345,registrar,Falaba,Wara Wara Zagala,chiefdom,registrar,regform.html,"regform.html",Northern Province,Falaba,Wara Wara Zagala,Wara Wara Zagala MCHP,Foindu,Augustine Davies,076052427
reg018,12345,registrar,Falaba,Wara Wara Yagala,chiefdom,registrar,regform.html,"regform.html",Northern Province,Falaba,Wara Wara Yagala,Wara Wara Yagala Community Hospital,Bandajuma,Mabinty Turay,030280598
reg019,12345,registrar,Falaba,Biriwa,chiefdom,registrar,regform.html,"regform.html",Northern Province,Falaba,Biriwa,Biriwa CHP,Sembehun,Alhaji Sei,078053315
reg020,12345,registrar,Falaba,Sella Limba,chiefdom,registrar,regform.html,"regform.html",Northern Province,Falaba,Sella Limba,Sella Limba Community Hospital,Kpetema,Rugiatu Johnson,077260256
reg021,12345,registrar,Koinadugu,Dansogoia,chiefdom,registrar,regform.html,"regform.html",Northern Province,Koinadugu,Dansogoia,Dansogoia CHP,Kabala,Saidu Bockarie,076733754
reg022,12345,registrar,Koinadugu,Diang,chiefdom,registrar,regform.html,"regform.html",Northern Province,Koinadugu,Diang,Diang CHP,Fadugu,Joseph Sowa,078414586
reg023,12345,registrar,Koinadugu,Folasaba,chiefdom,registrar,regform.html,"regform.html",Northern Province,Koinadugu,Folasaba,Folasaba CHC,Kondembaia,Mabinty Cole,077940196
reg024,12345,registrar,Koinadugu,Kasunko,chiefdom,registrar,regform.html,"regform.html",Northern Province,Koinadugu,Kasunko,Kasunko CHC,Yiffin,Nemata Kai,033816934
reg025,12345,registrar,Tonkolili,Gbonkolenken,chiefdom,registrar,regform.html,"regform.html",Northern Province,Tonkolili,Gbonkolenken,Gbonkolenken MCHP,Mile 91,Isatu Bangura,033356159
reg026,12345,registrar,Tonkolili,Kafe Simiria,chiefdom,registrar,regform.html,"regform.html",Northern Province,Tonkolili,Kafe Simiria,Kafe Simiria CHC,Yele,Mabinty Sei,033465648
reg027,12345,registrar,Tonkolili,Kholifa Mabang,chiefdom,registrar,regform.html,"regform.html",Northern Province,Tonkolili,Kholifa Mabang,Kholifa Mabang CHP,Magbaima,Musa Samba,033946804
reg028,12345,registrar,Tonkolili,Kholifa Rowalla,chiefdom,registrar,regform.html,"regform.html",Northern Province,Tonkolili,Kholifa Rowalla,Kholifa Rowalla CHC,Mamanso,Peter Mansaray,030577738
reg029,12345,registrar,Kambia,Dixon,chiefdom,registrar,regform.html,"regform.html",North West Province,Kambia,Dixon,Dixon Community Hospital,Kambia Town,Zainab Conteh,078895134
reg030,12345,registrar,Kambia,Gbinle,chiefdom,registrar,regform.html,"regform.html",North West Province,Kambia,Gbinle,Gbinle CHP,Rokupr,Rugiatu Sesay,076379176
reg031,12345,registrar,Kambia,Samu,chiefdom,registrar,regform.html,"regform.html",North West Province,Kambia,Samu,Samu CHP,Mambolo,Fanta Kamara,079320163
reg032,12345,registrar,Kambia,Tunkia,chiefdom,registrar,regform.html,"regform.html",North West Province,Kambia,Tunkia,Tunkia CHP,Tawuya,Grace Sankoh,076831727
reg033,12345,registrar,Karene,Sambaia,chiefdom,registrar,regform.html,"regform.html",North West Province,Karene,Sambaia,Sambaia CHC,Karene Town,Alice Dumbuya,030868727
reg034,12345,registrar,Karene,Gbanti,chiefdom,registrar,regform.html,"regform.html",North West Province,Karene,Gbanti,Gbanti Community Hospital,Kamaranka,Emmanuel Davies,033734714
reg035,12345,registrar,Karene,Kamaranka,chiefdom,registrar,regform.html,"regform.html",North West Province,Karene,Kamaranka,Kamaranka CHP,Rokupr,Santigie Fofanah,076223623
reg036,12345,registrar,Karene,Tambakha,chiefdom,registrar,regform.html,"regform.html",North West Province,Karene,Tambakha,Tambakha MCHP,Sambaia,Tamba Fofanah,079603669
reg037,12345,registrar,Port Loko,Bureh,chiefdom,registrar,regform.html,"regform.html",North West Province,Port Loko,Bureh,Bureh MCHP,Port Loko Town,Theresa Bockarie,079054668
reg038,12345,registrar,Port Loko,Kafu Bullom,chiefdom,registrar,regform.html,"regform.html",North West Province,Port Loko,Kafu Bullom,Kafu Bullom CHP,Lunsar,Francis Kai,079065627
reg039,12345,registrar,Port Loko,Lokomasama,chiefdom,registrar,regform.html,"regform.html",North West Province,Port Loko,Lokomasama,Lokomasama CHP,Masiaka,Victoria Sesay,079990162
reg040,12345,registrar,Port Loko,Marampa,chiefdom,registrar,regform.html,"regform.html",North West Province,Port Loko,Marampa,Marampa Community Hospital,Mambolo,Victor Bockarie,078375564
reg041,12345,registrar,Bo,Badjia,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bo,Badjia,Badjia Community Hospital,Bo Town,Abu Kabba,076805310
reg042,12345,registrar,Bo,Bagbo,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bo,Bagbo,Bagbo MCHP,Tikonko,Mariatu Sesay,033232719
reg043,12345,registrar,Bo,Bagbwe,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bo,Bagbwe,Bagbwe CHP,Baoma,Victor Lahai,077991241
reg044,12345,registrar,Bo,Bargbe,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bo,Bargbe,Bargbe MCHP,Koribondo,Joseph Turay,033314919
reg045,12345,registrar,Bonthe,Bendu,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bonthe,Bendu,Bendu MCHP,Bonthe Town,Augustine Lahai,076850671
reg046,12345,registrar,Bonthe,Bonthe Municipal,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bonthe,Bonthe Municipal,Bonthe Municipal Community Hospital,Mattru,Joyce Jalloh,079284987
reg047,12345,registrar,Bonthe,Bonthe Island,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bonthe,Bonthe Island,Bonthe Island Community Hospital,Sogbeni,Peter Davies,078314737
reg048,12345,registrar,Bonthe,Dema,chiefdom,registrar,regform.html,"regform.html",Southern Province,Bonthe,Dema,Dema Community Hospital,Dema,Michael Tarawally,077735454
reg049,12345,registrar,Moyamba,Bagruwa,chiefdom,registrar,regform.html,"regform.html",Southern Province,Moyamba,Bagruwa,Bagruwa CHC,Moyamba Town,Grace Gbunduka,076367837
reg050,12345,registrar,Moyamba,Bumpeh,chiefdom,registrar,regform.html,"regform.html",Southern Province,Moyamba,Bumpeh,Bumpeh Community Hospital,Shenge,Ibrahim Conteh,078363495
reg051,12345,registrar,Moyamba,Dasse,chiefdom,registrar,regform.html,"regform.html",Southern Province,Moyamba,Dasse,Dasse Community Hospital,Ribbi,Sia Kai,030855744
reg052,12345,registrar,Moyamba,Fakunya,chiefdom,registrar,regform.html,"regform.html",Southern Province,Moyamba,Fakunya,Fakunya CHC,Timdale,Joseph Tarawally,076823374
reg053,12345,registrar,Pujehun,Barri,chiefdom,registrar,regform.html,"regform.html",Southern Province,Pujehun,Barri,Barri CHC,Pujehun Town,Mariatu Kanneh,077524082
reg054,12345,registrar,Pujehun,Fairo,chiefdom,registrar,regform.html,"regform.html",Southern Province,Pujehun,Fairo,Fairo CHC,Fairo,Sahr Turay,078271094
reg055,12345,registrar,Pujehun,Galliness,chiefdom,registrar,regform.html,"regform.html",Southern Province,Pujehun,Galliness,Galliness Community Hospital,Barri,Tamba Samba,076471167
reg056,12345,registrar,Pujehun,Kpaka,chiefdom,registrar,regform.html,"regform.html",Southern Province,Pujehun,Kpaka,Kpaka MCHP,Galliness,Hawa Jalloh,077941318
reg057,12345,registrar,Western Area Rural,Waterloo,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Rural,Waterloo,Waterloo Community Hospital,Waterloo,Janet Williams,033677496
reg058,12345,registrar,Western Area Rural,Newton,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Rural,Newton,Newton CHC,Newton,Hawa Dumbuya,030133412
reg059,12345,registrar,Western Area Rural,Benguema,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Rural,Benguema,Benguema CHP,Benguema,Amara Kargbo,076679740
reg060,12345,registrar,Western Area Rural,Tombo,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Rural,Tombo,Tombo CHP,Tombo,Abdul Sankoh,076349361
reg061,12345,registrar,Western Area Urban,Waterloo,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Urban,Waterloo,Waterloo CHP,Freetown,Hannah Jalloh,076024994
reg062,12345,registrar,Western Area Urban,Newton,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Urban,Newton,Newton Community Hospital,Wilberforce,Osman Sowa,078887719
reg063,12345,registrar,Western Area Urban,Benguema,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Urban,Benguema,Benguema MCHP,Goderich,Nemata Mansaray,078013990
reg064,12345,registrar,Western Area Urban,Tombo,chiefdom,registrar,regform.html,"regform.html",Western Area,Western Area Urban,Tombo,Tombo CHC,Congo Cross,Memunatu Kabba,033742967
dist001,12345,distributor,Kailahun,Kissi Kama,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kailahun,Kissi Kama,Kissi Kama MCHP,Koindu,Kemoh Kalokoh,078125674
dist002,12345,distributor,Kailahun,Kissi Teng,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kailahun,Kissi Teng,Kissi Teng Community Hospital,Mobai,Cecilia Bangura,079154516
dist003,12345,distributor,Kailahun,Kissi Tongi,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kailahun,Kissi Tongi,Kissi Tongi MCHP,Jawei,Victoria Sankoh,079038597
dist004,12345,distributor,Kailahun,Luawa,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kailahun,Luawa,Luawa Community Hospital,Luawa,Kadi Davies,033247710
dist005,12345,distributor,Kenema,Gorama Kono,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kenema,Gorama Kono,Gorama Kono CHP,Koidu,Jenneh Turay,076861317
dist006,12345,distributor,Kenema,Kandu Leppiama,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kenema,Kandu Leppiama,Kandu Leppiama MCHP,Segbwema,Rugiatu Kamara,030484677
dist007,12345,distributor,Kenema,Koidu Town,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kenema,Koidu Town,Koidu Town CHP,Daru,Brima Bockarie,077982146
dist008,12345,distributor,Kenema,Langbama,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kenema,Langbama,Langbama CHC,Panguma,Mary Davies,076449972
dist009,12345,distributor,Kono,Gbense,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kono,Gbense,Gbense Community Hospital,Sefadu,Sia Kalokoh,033867533
dist010,12345,distributor,Kono,Gorama,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kono,Gorama,Gorama Community Hospital,Yengema,Kemoh Bangura,078766270
dist011,12345,distributor,Kono,Kamara,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kono,Kamara,Kamara CHP,Kono City,Lucia Kalokoh,076718702
dist012,12345,distributor,Kono,Lei,chiefdom,distributor,dist.html,"dist.html",Eastern Province,Kono,Lei,Lei Community Hospital,Tankoro,Rugiatu Turay,079459615
dist013,12345,distributor,Bombali,Libeisaygahun,chiefdom,distributor,dist.html,"dist.html",Northern Province,Bombali,Libeisaygahun,Libeisaygahun Community Hospital,Matene,Martha Fofanah,076913431
dist014,12345,distributor,Bombali,Makari Gbanti,chiefdom,distributor,dist.html,"dist.html",Northern Province,Bombali,Makari Gbanti,Makari Gbanti Community Hospital,Binkolo,Yabom Samura,077400504
dist015,12345,distributor,Bombali,Paki Masabong,chiefdom,distributor,dist.html,"dist.html",Northern Province,Bombali,Paki Masabong,Paki Masabong CHC,Kamalo,Brima Johnson,033692221
dist016,12345,distributor,Bombali,Saberi,chiefdom,distributor,dist.html,"dist.html",Northern Province,Bombali,Saberi,Saberi Community Hospital,Makeni Town,Rebecca Kamara,033237474
dist017,12345,distributor,Falaba,Biriwa,chiefdom,distributor,dist.html,"dist.html",Northern Province,Falaba,Biriwa,Biriwa MCHP,Sembehun,Joyce Kanneh,030821759
dist018,12345,distributor,Falaba,Sella Limba,chiefdom,distributor,dist.html,"dist.html",Northern Province,Falaba,Sella Limba,Sella Limba CHC,Kpetema,Mamie Cole,079436713
dist019,12345,distributor,Falaba,Gbanti,chiefdom,distributor,dist.html,"dist.html",Northern Province,Falaba,Gbanti,Gbanti Community Hospital,Gbo,Theresa Kanneh,030406409
dist020,12345,distributor,Falaba,Kasunko,chiefdom,distributor,dist.html,"dist.html",Northern Province,Falaba,Kasunko,Kasunko MCHP,Kpangba,Martha Kanneh,077953394
dist021,12345,distributor,Koinadugu,Folasaba,chiefdom,distributor,dist.html,"dist.html",Northern Province,Koinadugu,Folasaba,Folasaba CHP,Kondembaia,Fatmata Sei,079095214
dist022,12345,distributor,Koinadugu,Kasunko,chiefdom,distributor,dist.html,"dist.html",Northern Province,Koinadugu,Kasunko,Kasunko CHC,Yiffin,Memunatu Gbunduka,077858842
dist023,12345,distributor,Koinadugu,Mongo,chiefdom,distributor,dist.html,"dist.html",Northern Province,Koinadugu,Mongo,Mongo CHC,Woroma,Esther Kanneh,030517123
dist024,12345,distributor,Koinadugu,Neya,chiefdom,distributor,dist.html,"dist.html",Northern Province,Koinadugu,Neya,Neya Community Hospital,Kamadugu,Cecilia Lahai,076604817
dist025,12345,distributor,Tonkolili,Kholifa Mabang,chiefdom,distributor,dist.html,"dist.html",Northern Province,Tonkolili,Kholifa Mabang,Kholifa Mabang CHC,Magbaima,Elizabeth Koroma,079513709
dist026,12345,distributor,Tonkolili,Kholifa Rowalla,chiefdom,distributor,dist.html,"dist.html",Northern Province,Tonkolili,Kholifa Rowalla,Kholifa Rowalla CHC,Mamanso,Agnes Turay,030746120
dist027,12345,distributor,Tonkolili,Kunike Barina,chiefdom,distributor,dist.html,"dist.html",Northern Province,Tonkolili,Kunike Barina,Kunike Barina MCHP,Kunike,Michael Mansaray,076382675
dist028,12345,distributor,Tonkolili,Kunike,chiefdom,distributor,dist.html,"dist.html",Northern Province,Tonkolili,Kunike,Kunike Community Hospital,Rokulan,Rugiatu Kowa,030179640
dist029,12345,distributor,Kambia,Samu,chiefdom,distributor,dist.html,"dist.html",North West Province,Kambia,Samu,Samu CHC,Mambolo,Patrick Johnson,078158506
dist030,12345,distributor,Kambia,Tunkia,chiefdom,distributor,dist.html,"dist.html",North West Province,Kambia,Tunkia,Tunkia CHC,Tawuya,Foday Sankoh,076390053
dist031,12345,distributor,Kambia,Dixon,chiefdom,distributor,dist.html,"dist.html",North West Province,Kambia,Dixon,Dixon CHP,Gbinle,Kadi Turay,033393352
dist032,12345,distributor,Kambia,Gbinle,chiefdom,distributor,dist.html,"dist.html",North West Province,Kambia,Gbinle,Gbinle MCHP,Samu,Brima Dumbuya,033421020
dist033,12345,distributor,Karene,Kamaranka,chiefdom,distributor,dist.html,"dist.html",North West Province,Karene,Kamaranka,Kamaranka CHC,Rokupr,Rebecca Koroma,078024026
dist034,12345,distributor,Karene,Tambakha,chiefdom,distributor,dist.html,"dist.html",North West Province,Karene,Tambakha,Tambakha MCHP,Sambaia,Esther Samura,078891783
dist035,12345,distributor,Karene,Sambaia,chiefdom,distributor,dist.html,"dist.html",North West Province,Karene,Sambaia,Sambaia MCHP,Gbanti,Grace Sei,079007661
dist036,12345,distributor,Karene,Gbanti,chiefdom,distributor,dist.html,"dist.html",North West Province,Karene,Gbanti,Gbanti Community Hospital,Tambakha,Alice Turay,076592124
dist037,12345,distributor,Port Loko,Lokomasama,chiefdom,distributor,dist.html,"dist.html",North West Province,Port Loko,Lokomasama,Lokomasama CHC,Masiaka,Frank Bangura,078789611
dist038,12345,distributor,Port Loko,Marampa,chiefdom,distributor,dist.html,"dist.html",North West Province,Port Loko,Marampa,Marampa CHP,Mambolo,Daniel Kowa,078766156
dist039,12345,distributor,Port Loko,Masimera,chiefdom,distributor,dist.html,"dist.html",North West Province,Port Loko,Masimera,Masimera CHC,Kafu Bullom,Nabintu Jalloh,030711116
dist040,12345,distributor,Port Loko,Bureh,chiefdom,distributor,dist.html,"dist.html",North West Province,Port Loko,Bureh,Bureh MCHP,Masimera,Nabintu Dumbuya,033098851
dist041,12345,distributor,Bo,Bagbwe,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bo,Bagbwe,Bagbwe Community Hospital,Baoma,Augustine Fofanah,078945198
dist042,12345,distributor,Bo,Bargbe,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bo,Bargbe,Bargbe CHP,Koribondo,Andrew Williams,076585149
dist043,12345,distributor,Bo,Bongor,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bo,Bongor,Bongor CHP,Mongeri,Cecilia Dumbuya,033809402
dist044,12345,distributor,Bo,Jaiama Bongor,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bo,Jaiama Bongor,Jaiama Bongor CHC,Sumbuya,Jenneh Kalokoh,078022961
dist045,12345,distributor,Bonthe,Bonthe Island,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bonthe,Bonthe Island,Bonthe Island CHP,Sogbeni,Mariama Conteh,030836675
dist046,12345,distributor,Bonthe,Dema,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bonthe,Dema,Dema CHP,Dema,Santigie Conteh,033102290
dist047,12345,distributor,Bonthe,Imperri,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bonthe,Imperri,Imperri MCHP,Imperri,Augustine Kamara,033764381
dist048,12345,distributor,Bonthe,Jong,chiefdom,distributor,dist.html,"dist.html",Southern Province,Bonthe,Jong,Jong CHC,Bendu,Abdul Koroma,079840369
dist049,12345,distributor,Moyamba,Dasse,chiefdom,distributor,dist.html,"dist.html",Southern Province,Moyamba,Dasse,Dasse MCHP,Ribbi,Osman Suma,077445107
dist050,12345,distributor,Moyamba,Fakunya,chiefdom,distributor,dist.html,"dist.html",Southern Province,Moyamba,Fakunya,Fakunya Community Hospital,Timdale,Musa Fofanah,030388516
dist051,12345,distributor,Moyamba,Kaiyamba,chiefdom,distributor,dist.html,"dist.html",Southern Province,Moyamba,Kaiyamba,Kaiyamba MCHP,Bagruwa,John Turay,078969664
dist052,12345,distributor,Moyamba,Kori,chiefdom,distributor,dist.html,"dist.html",Southern Province,Moyamba,Kori,Kori MCHP,Fakunya,Santigie Kargbo,033751613
dist053,12345,distributor,Pujehun,Galliness,chiefdom,distributor,dist.html,"dist.html",Southern Province,Pujehun,Galliness,Galliness Community Hospital,Barri,Grace Conteh,079453521
dist054,12345,distributor,Pujehun,Kpaka,chiefdom,distributor,dist.html,"dist.html",Southern Province,Pujehun,Kpaka,Kpaka MCHP,Galliness,Mariatu Foday,078231243
dist055,12345,distributor,Pujehun,Kpanga Kabonde,chiefdom,distributor,dist.html,"dist.html",Southern Province,Pujehun,Kpanga Kabonde,Kpanga Kabonde CHP,Kpaka,Aminata Samba,030779979
dist056,12345,distributor,Pujehun,Makpele,chiefdom,distributor,dist.html,"dist.html",Southern Province,Pujehun,Makpele,Makpele CHC,Makpele,Nemata Jalloh,079177449
dist057,12345,distributor,Western Area Rural,Benguema,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Rural,Benguema,Benguema MCHP,Benguema,Amara Sei,079700541
dist058,12345,distributor,Western Area Rural,Tombo,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Rural,Tombo,Tombo MCHP,Tombo,Mary Bockarie,079980793
dist059,12345,distributor,Western Area Rural,Central,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Rural,Central,Central CHC,Grafton,Mary Jalloh,076715182
dist060,12345,distributor,Western Area Rural,East,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Rural,East,East MCHP,Hastings,Patrick Samura,033892554
dist061,12345,distributor,Western Area Urban,Benguema,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Urban,Benguema,Benguema Community Hospital,Goderich,Tamba Mansaray,076515186
dist062,12345,distributor,Western Area Urban,Tombo,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Urban,Tombo,Tombo CHC,Congo Cross,Frank Jalloh,078192546
dist063,12345,distributor,Western Area Urban,Central,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Urban,Central,Central CHP,Tower Hill,Kadiatu Sei,033652816
dist064,12345,distributor,Western Area Urban,East,chiefdom,distributor,dist.html,"dist.html",Western Area,Western Area Urban,East,East CHC,Kroo Bay,Osman Samba,077573322
admin001,12345,admin,All,All,national,admin,stock.html,"dist.html,regform.html,landing.html,stock.html,dash.html,recon.html,monitor.html",All,All,All,National,Freetown,Saidu Sesay,033805929
admin002,12345,admin,All,All,national,admin,stock.html,"dist.html,regform.html,landing.html,stock.html,dash.html,recon.html,monitor.html",All,All,All,National,Freetown,Alpha Samba,030927065
admin003,12345,admin,All,All,national,admin,stock.html,"dist.html,regform.html,landing.html,stock.html,dash.html,recon.html,monitor.html",All,All,All,National,Freetown,Rebecca Samura,033473834
admin004,12345,admin,All,All,national,admin,stock.html,"dist.html,regform.html,landing.html,stock.html,dash.html,recon.html,monitor.html",All,All,All,National,Freetown,Esther Gbunduka,078977468
admin005,12345,admin,All,All,national,admin,stock.html,"dist.html,regform.html,landing.html,stock.html,dash.html,recon.html,monitor.html",All,All,All,National,Freetown,Zainab Gbunduka,033240758
nat001,12345,national,Bombali,All,national,national_monitor,portal.html,"portal.html,monitor.html",Northern Province,Bombali,All,Regional Office,Rogbom,Grace Mansaray,078124782
nat002,12345,national,Pujehun,All,national,national_monitor,portal.html,"portal.html,monitor.html",Southern Province,Pujehun,All,Regional Office,Pujehun Town,Daniel Samura,078060685
nat003,12345,national,Kambia,All,national,national_monitor,portal.html,"portal.html,monitor.html",North West Province,Kambia,All,Regional Office,Kambia Town,Abu Lahai,077051522
